Title,Artist,Year,Ranking2003,Ranking2012,Ranking2020,Ranking_Avg
Journey in Satchidananda,Alice Coltrane,1971,,,446,446
X 100pre,Bad Bunny,2018,,,447,447
Ram,Paul & Linda McCartney,1971,,,450,450
First Take,Roberta Flack,1969,,,451,451
Pretty Hate Machine,Nine Inch Nails,1989,,,453,453
Ege Bamyasi,Can,1972,,,454,454
Southeastern,Jason Isbell,2013,,,458,458
Man on the Moon: The End of the Day,Kid Cudi,2009,,,459,459
Melodrama,Lorde,2017,,,460,460
"For Emma, Forever Ago",Bon Iver,2008,,,461,461
Eli and the Thirteenth Confession,Laura Nyro,1968,,,463,463
3x3,The Isley Brothers,1973,,,464,464
The Best of the Classic Years,King Sunny Adé,2003,,,465,465
BLACKsummers'night,Maxwell,2009,,,467,467
Clandestino,Manu Chao,1998,,,469,469
400 Degreez,Juvenile,1998,,,470,470
Ctrl,SZA,2017,,,472,472
Barrio Fino,Daddy Yankee,2004,,,473,473
Sheryl Crow,Sheryl Crow,1996,,,475,475
Kimono My House,Sparks,1974,,,476,476
Amor Prohibido,Selena,1994,,,479,479
Weight of These Wings,Miranda Lambert,2016,,,480,480
If You're Feeling Sinister,Belle and Sebastian,1996,,,481,481
Bizarre Ride II The Pharcyde,The Pharcyde,1992,,,482,482
Born This Way,Lady Gaga,2011,,,484,484
Continuum,John Mayer,2006,,,486,486
Fine Line,Harry Styles,2019,,,491,491
II,Boyz II Men,1991,,,495,495
Dónde Están los Ladrones,Shakira,1998,,,496,496
Ask Rufus,Rufus & Chaka Khan,1977,,,499,499
