Title,Artist,Year,Ranking2003,Ranking2012,Ranking2020,Ranking_Avg
Expensive Shit,Fela Kuti & Africa 70,1975,,,402,402.0
Supreme Clientele,Ghostface Killah,2000,,,403,403.0
Rapture,Anita Baker,1986,,,404,404.0
Ace of Spades,Motörhead,1980,,,408,408.0
Wild Honey,The Beach Boys,1967,,,410,410.0
Risqué,Chic,1979,,,414,414.0
Looka Py Py,The Meters,1969,,,415,415.0
Things Fall Apart,The Roots,1999,,,416,416.0
Chief,Eric Church,2011,,,419,419.0
Arular,M.I.A.,2005,,,421,421.0
I Can Hear the Heart Beating As One,Yo La Tengo,1997,,,423,423.0
Lucinda Williams,Lucinda Williams,1988,,,426,426.0
Reach Out,The Four Tops,1967,,,429,429.0
Confessions,Usher,2004,,,432,432.0
Actually,Pet Shop Boys,1987,,,435,435.0
All Eyez on Me,2Pac,1996,,,436,436.0
Screamadelica,Primal Scream,1991,,,437,437.0
Parklife,Blur,1994,,,438,438.0
Sex Machine,James Brown,1970,,,439,439.0
Coal Miner's Daughter,Loretta Lynn,1971,,,440,440.0
Blackout,Britney Spears,2007,,,441,441.0
Beauty Behind the Madness,The Weeknd,2015,,,442,442.0
Scary Monsters,David Bowie,1980,,,443,443.0
Extraordinary Machine,Fiona Apple,2005,,,444,444.0
Close to the Edge,Yes,1972,,,445,445.0
Journey in Satchidananda,Alice Coltrane,1971,,,446,446.0
X 100pre,Bad Bunny,2018,,,447,447.0
Ram,Paul & Linda McCartney,1971,,,450,450.0
First Take,Roberta Flack,1969,,,451,451.0
Pretty Hate Machine,Nine Inch Nails,1989,,,453,453.0
Ege Bamyasi,Can,1972,,,454,454.0
Southeastern,Jason Isbell,2013,,,458,458.0
Man on the Moon: The End of the Day,Kid Cudi,2009,,,459,459.0
Melodrama,Lorde,2017,,,460,460.0
"For Emma, Forever Ago",Bon Iver,2008,,,461,461.0
Eli and the Thirteenth Confession,Laura Nyro,1968,,,463,463.0
3x3,The Isley Brothers,1973,,,464,464.0
The Best of the Classic Years,King Sunny Adé,2003,,,465,465.0
BLACKsummers'night,Maxwell,2009,,,467,467.0
Clandestino,Manu Chao,1998,,,469,469.0
400 Degreez,Juvenile,1998,,,470,470.0
Ctrl,SZA,2017,,,472,472.0
Barrio Fino,Daddy Yankee,2004,,,473,473.0
Sheryl Crow,Sheryl Crow,1996,,,475,475.0
Kimono My House,Sparks,1974,,,476,476.0
Amor Prohibido,Selena,1994,,,479,479.0
Weight of These Wings,Miranda Lambert,2016,,,480,480.0
If You're Feeling Sinister,Belle and Sebastian,1996,,,481,481.0
Bizarre Ride II The Pharcyde,The Pharcyde,1992,,,482,482.0
Born This Way,Lady Gaga,2011,,,484,484.0
Continuum,John Mayer,2006,,,486,486.0
Fine Line,Harry Styles,2019,,,491,491.0
II,Boyz II Men,1991,,,495,495.0
Dónde Están los Ladrones,Shakira,1998,,,496,496.0
Ask Rufus,Rufus & Chaka Khan,1977,,,499,499.0
